Iteration,Best Distance,Average Distance,Iter Time (s),Cumulative Time (s)
0,6224.0812840722265,8164.346945788645,0.03439044952392578,0.0343937873840332
1,6428.040373779818,7669.577156008516,0.037392377853393555,0.07221460342407227
2,6112.292155819166,7531.692727043547,0.03524613380432129,0.10831570625305176
3,6145.9653975060555,7368.131975190511,0.03629875183105469,0.14499759674072266
4,6112.400045954134,7150.395796565377,0.043326616287231445,0.1886446475982666
5,5864.9702407240575,7074.344118448659,0.03559374809265137,0.22470879554748535
6,5782.873347268065,6631.1556771611995,0.03619527816772461,0.2613041400909424
7,5917.890750440482,6776.199198026279,0.03544020652770996,0.2971963882446289
8,5915.61484036343,6710.490088182725,0.03509235382080078,0.3326878547668457
9,5892.546592691679,6640.393777605408,0.03544497489929199,0.3684201240539551
10,5881.7682328063065,6556.877018186592,0.03664588928222656,0.40540242195129395
11,5865.441204476915,6606.0750767522595,0.03528571128845215,0.4410686492919922
12,5973.585058943214,6621.5413296379775,0.035691261291503906,0.477139949798584
13,5908.7180346541845,6604.892753927175,0.035299062728881836,0.5128276348114014
14,5902.955196537656,6438.824432756199,0.034821510314941406,0.5479650497436523
15,5899.200317849789,6545.278413390334,0.035350799560546875,0.5835602283477783
16,5905.895915262037,6522.1880624234245,0.03493022918701172,0.6188759803771973
17,5889.345573164934,6563.891871934722,0.034960269927978516,0.6542212963104248
18,5998.957389667247,6657.997140216796,0.03509950637817383,0.6896564960479736
19,5880.810057064797,6539.087691855147,0.03522896766662598,0.7251319885253906
20,5854.872114390551,6470.74390786902,0.036348819732666016,0.7618613243103027
21,5920.110210507309,6466.410202633149,0.03529810905456543,0.79762864112854
22,5880.810057064797,6578.438125143095,0.036614179611206055,0.8345615863800049
23,5860.1746359825465,6393.657796585605,0.03503847122192383,0.8700459003448486
24,5811.124657654029,6479.676328645858,0.034848690032958984,0.9052350521087646
25,5790.830186031356,6555.906714126535,0.035196542739868164,0.9408049583435059
26,5877.710140758507,6513.813458575939,0.03486442565917969,0.9760067462921143
27,6032.07812023991,6514.861411262708,0.03533005714416504,1.0116550922393799
28,5825.481414169102,6509.014658809607,0.03493762016296387,1.046891689300537
29,5960.44099347135,6474.662190047855,0.03640890121459961,1.0835227966308594
30,5880.810057064797,6563.926127060068,0.034751176834106445,1.118649959564209
31,5910.376186174907,6455.916580869169,0.035344839096069336,1.1542682647705078
32,5798.335920977408,6403.159477177407,0.03466987609863281,1.189300298690796
33,5990.811498504721,6382.36291313897,0.03494620323181152,1.2245151996612549
34,5917.890750440482,6449.677139235803,0.03490400314331055,1.2597439289093018
35,5987.298564467809,6570.75916618601,0.035106658935546875,1.2950868606567383
36,5880.810057064797,6428.482081259315,0.03501152992248535,1.3304486274719238
37,5923.766406975492,6364.565612730943,0.036260128021240234,1.367093563079834
38,5737.004757835528,6523.022304196286,0.03577733039855957,1.4031729698181152
39,5860.1856648275025,6448.486996277124,0.03615069389343262,1.439666509628296
40,5817.966597985349,6515.733576238451,0.034861087799072266,1.4749233722686768
41,5934.474937064293,6499.844390891176,0.03479170799255371,1.5099668502807617
42,5928.947375655139,6544.71686512955,0.03478050231933594,1.5450286865234375
43,5953.322824210097,6526.076564504325,0.035169124603271484,1.5804369449615479
44,5839.80225252971,6457.2838463417975,0.034631967544555664,1.6155056953430176
45,5953.190905794579,6482.163946386301,0.03506970405578613,1.6509394645690918
46,5749.429953748114,6446.341156914844,0.03493022918701172,1.6861305236816406
47,5816.635694242082,6541.373891463723,0.03528594970703125,1.7217276096343994
48,5929.438893132257,6527.51960218559,0.034919023513793945,1.7570600509643555
49,5960.44099347135,6554.636732298062,0.035306692123413086,1.7926745414733887
50,5864.065322244655,6463.406381948339,0.034713029861450195,1.8276338577270508
51,5909.568820396944,6577.145637737565,0.037832021713256836,1.865976333618164
52,5816.635694242082,6536.337952760452,0.03499245643615723,1.9014041423797607
53,5816.635694242082,6508.440271786356,0.038812875747680664,1.940603494644165
54,5880.810057064797,6547.605199223404,0.03489112854003906,1.975860595703125
55,5824.664386849141,6595.232024398585,0.034967660903930664,2.0111284255981445
56,5988.412791789665,6556.636571127713,0.03481864929199219,2.046192169189453
57,5774.628547043283,6479.513139290402,0.03679060935974121,2.08327579498291
58,5737.004757835528,6498.741981396622,0.03498959541320801,2.118659257888794
59,5821.912541125375,6559.045549328372,0.03519296646118164,2.1541976928710938
60,5737.004757835528,6494.734734964901,0.034982919692993164,2.1894943714141846
61,5845.755013682163,6522.875871536787,0.03522825241088867,2.225144624710083
62,5887.470143302792,6593.864671676372,0.034749746322631836,2.260277271270752
63,5840.479274100755,6497.907700682234,0.0366058349609375,2.297241449356079
64,5951.621510459516,6543.266309328588,0.03525519371032715,2.3328418731689453
65,5737.004757835528,6429.3274130783075,0.03538346290588379,2.3685474395751953
66,5880.810057064797,6450.921181863996,0.03652644157409668,2.4053781032562256
67,5972.604454196622,6550.396659964659,0.03549599647521973,2.4412434101104736
68,5880.810057064797,6312.2244063897415,0.036467552185058594,2.478041172027588
69,5790.830186031356,6504.520295974478,0.03543591499328613,2.5138211250305176
70,5880.810057064797,6552.110667105611,0.0351109504699707,2.5492641925811768
71,5780.55472842095,6514.94948231462,0.03699469566345215,2.5865442752838135
72,5737.004757835528,6500.376819910108,0.03748726844787598,2.624446392059326
73,5737.004757835528,6438.757084584686,0.03562331199645996,2.6604371070861816
74,5859.607922519633,6467.1120450365115,0.03513073921203613,2.695941686630249
75,5887.538620219461,6518.371170777366,0.03600168228149414,2.732283592224121
76,5960.44099347135,6461.995946665536,0.035018205642700195,2.7677338123321533
77,5960.44099347135,6536.158398137733,0.035125017166137695,2.803208589553833
78,6070.442434911275,6591.425813917511,0.03607010841369629,2.839625597000122
79,5969.282745682771,6511.563929602537,0.035626888275146484,2.880422592163086
80,5896.75566510087,6523.45692746215,0.03566336631774902,2.91648268699646
81,5737.004757835528,6513.309776812559,0.03605198860168457,2.95285701751709
82,5737.004757835528,6496.393992061534,0.034912824630737305,2.988198757171631
83,5737.004757835528,6372.545555833634,0.036264896392822266,3.024726629257202
84,5824.000446936352,6473.747475311398,0.03628277778625488,3.0613951683044434
85,5880.810057064797,6382.032470687575,0.0351862907409668,3.096964120864868
86,5880.810057064797,6558.5852668996,0.0357663631439209,3.1330792903900146
87,5737.004757835528,6426.443661044381,0.035262107849121094,3.168729066848755
88,5756.7001197173195,6582.441596854005,0.03506588935852051,3.204124689102173
89,5821.702208236941,6473.929719100768,0.03652667999267578,3.2409164905548096
90,5789.642147738626,6488.329274775166,0.03520393371582031,3.276555061340332
91,5947.871306874638,6470.153859979482,0.035280704498291016,3.312202215194702
92,5834.159700050831,6445.382118055134,0.03558039665222168,3.3481054306030273
93,5864.065322244655,6477.896914660613,0.035738468170166016,3.3841755390167236
94,5830.506727273311,6520.316685762647,0.036176443099975586,3.420663595199585
95,5980.857719876846,6511.480075431927,0.034874677658081055,3.455793619155884
96,5978.1953916312905,6577.084431073328,0.03493356704711914,3.4910552501678467
97,5915.04162037691,6563.813421599029,0.03561544418334961,3.527019739151001
98,5990.811498504721,6587.919494841656,0.0353388786315918,3.5627074241638184
99,5821.666386824741,6447.096531549977,0.03511404991149902,3.5981950759887695
100,5840.479274100755,6571.534704188526,0.03496098518371582,3.633455991744995
101,5780.55472842095,6564.611343839355,0.036824703216552734,3.6706855297088623
102,5933.447446967894,6409.496175625275,0.03482627868652344,3.70592999458313
103,5737.004757835528,6509.9995255089625,0.03515934944152832,3.7414393424987793
104,5973.585058943214,6480.664042351594,0.034905195236206055,3.776698589324951
105,5766.690381993285,6537.065314091593,0.035157203674316406,3.812141180038452
106,5737.004757835528,6524.916079649881,0.03509092330932617,3.847599744796753
107,5863.626563444118,6488.111854673009,0.035056114196777344,3.8830103874206543
108,5936.273748337499,6520.568667760263,0.035158395767211914,3.918487787246704
