Iteration,Best Distance,Average Distance
170,13904.001300798962,16220.494150301707
171,13665.574141857012,16218.329579107372
172,13665.574141857012,16272.507509531079
173,13665.574141857012,16610.592961676317
174,13665.574141857012,16382.713292383125
175,13665.574141857012,16385.05526628626
176,13665.574141857012,16533.434991052934
177,13629.24372864728,16347.062722909603
178,13628.178219607944,16336.635212150743
179,13628.178219607944,16768.33418198738
180,13628.178219607944,16589.692718609513
181,13616.862695794087,16406.19914550153
182,13602.110314321022,16323.641633017878
183,13602.110314321022,16792.809232212632
184,13602.110314321022,16714.354969678458
185,13561.793895500103,16187.425813980357
186,13561.793895500103,16651.963956380176
187,13561.793895500103,16706.49657295905
188,13561.793895500103,16391.977045753967
189,13497.594101976983,16305.002493819444
190,13497.594101976983,16360.162647720066
191,13497.594101976983,16658.00260225304
192,13497.594101976983,16607.096581585018
193,13497.594101976983,16250.426349132262
194,13497.594101976983,16156.84206301486
195,13497.594101976983,16332.505143639168
196,13428.829922615689,16141.41530070627
197,13428.829922615689,16452.19588824155
198,13428.829922615689,16531.26012432272
199,13428.829922615689,16282.679221242897
200,13428.829922615689,16211.211549412374
201,13428.829922615689,16175.181295352115
202,13428.829922615689,16211.838496179085
203,13428.829922615689,16202.44345676819
204,13428.829922615689,16136.012359442266
205,13428.829922615689,16042.084455781776
206,13428.829922615689,16082.478095703482
207,13428.829922615689,16306.563791067174
208,13428.829922615689,16012.461435263189
209,13427.185342375937,15963.904578609825
210,13427.185342375937,15914.211220330071
211,13427.185342375937,15783.536506463435
212,13427.185342375937,15946.05659505261
213,13427.185342375937,15769.073738937695
214,13263.646613199848,15702.199095161513
215,13263.646613199848,15809.368830730664
216,13263.646613199848,15656.245819114321
217,13241.17302015601,15645.765084265682
218,13241.17302015601,16497.12672993107
219,13241.17302015601,16419.30009846845
220,13241.17302015601,15904.320718742256
221,13241.17302015601,15822.005597859605
222,13241.17302015601,16060.346927514942
223,13241.17302015601,16336.433458139103
224,13241.17302015601,16119.113813145475
225,13241.17302015601,15960.601193310053
226,13241.17302015601,16143.964900982735
227,13241.17302015601,16051.950323832385
228,13241.17302015601,16016.618940859515
