Iteration,Best Distance,Average Distance
219,14831.86335168585,19731.988943213324
220,14831.86335168585,19875.929561044857
221,14831.86335168585,19791.010366806528
222,14831.86335168585,19941.78020938672
223,14831.86335168585,19804.8397926927
224,14831.86335168585,19620.421876767025
225,14831.86335168585,19644.070843522677
226,14831.86335168585,19542.500322110467
227,14605.498454624529,19453.480451683594
228,14414.05230584392,19073.01956417015
229,14414.05230584392,19092.261102221328
230,14414.05230584392,18943.371004919947
231,14414.05230584392,19120.225775875464
232,14414.05230584392,18849.561635267513
233,14414.05230584392,18970.751470416497
234,14414.05230584392,18842.309237192443
235,14414.05230584392,18761.8767009292
236,14296.494784308967,18654.474677503542
237,14296.494784308967,18415.400903225483
238,14296.494784308967,18312.60676476625
239,14296.494784308967,18449.989998816538
240,14296.494784308967,18473.47992546777
241,14296.494784308967,18288.946063710908
242,14296.494784308967,18357.988625402642
243,14296.494784308967,18087.654971702104
244,14296.494784308967,18196.589832069767
245,14296.494784308967,18168.09983866982
246,14296.494784308967,18161.457969018044
247,14296.494784308967,18073.79480596892
248,14296.494784308967,18041.514080558434
249,14296.494784308967,17978.97813325199
250,14296.494784308967,18015.628124770425
251,14296.494784308967,17938.048142384403
252,14296.494784308967,18038.12823900809
253,14296.494784308967,18200.92383934886
254,14296.494784308967,18137.297065365692
255,14291.225656961042,18158.602092191162
256,14070.687320342033,18319.18873190146
257,14070.687320342033,18213.83092944782
258,14070.687320342033,18249.557864022445
259,14070.687320342033,18177.312948031682
260,14070.687320342033,18082.43562866996
261,14070.687320342033,18000.534124397018
262,13940.478337156655,17804.283547384348
263,13744.679203195734,17756.299191642785
264,13744.679203195734,17737.931180040185
265,13690.915311723755,17651.523651097155
266,13690.915311723755,17660.5157219476
267,13690.915311723755,17659.063925021255
268,13690.915311723755,17315.172329037003
269,13690.915311723755,17602.67916869627
270,13690.915311723755,17506.73088360914
271,13690.915311723755,17497.809319389533
272,13690.915311723755,17423.323854818627
273,13474.343830965421,17360.93235727303
274,13451.442254269563,17302.726933116883
275,13409.273014761116,17467.477461206487
276,13403.361309285976,17217.944137669037
277,13403.361309285976,17184.151382333093
278,13402.173123763936,17275.95015347211
279,13129.240305875786,17247.272972283572
280,13049.984144266984,17201.670880639915
281,13049.984144266984,17060.436412116345
282,13049.984144266984,17003.8080546519
283,13042.67422061593,16863.689001598173
284,13042.67422061593,16963.2256733904
285,13042.215460168525,16749.817416796923
286,12910.245013790756,16718.872716878814
287,12909.681523253983,16834.063899545952
288,12833.017279901396,16885.433446479405
289,12833.017279901396,16764.404163522104
290,12833.017279901396,16649.410663395407
291,12833.017279901396,16698.68624525599
292,12833.017279901396,16476.990668477527
293,12833.017279901396,16557.32030871884
294,12833.017279901396,16474.224832122498
295,12833.017279901396,16401.9108835805
296,12833.017279901396,16464.733906247697
297,12833.017279901396,16389.1662117902
298,12833.017279901396,16512.047429101836
299,12833.017279901396,16439.20155531212
300,12833.017279901396,16491.26944607822
301,12833.017279901396,16434.652100964424
302,12833.017279901396,16375.241834245111
303,12833.017279901396,16466.3771411652
304,12833.017279901396,16477.008617368163
305,12833.017279901396,16350.838321159954
306,12833.017279901396,16358.761057131003
307,12833.017279901396,16241.571817531045
308,12833.017279901396,16318.57376532948
309,12833.017279901396,16065.867432751316
310,12833.017279901396,16133.512489859362
311,12833.017279901396,16079.726934628
312,12833.017279901396,16023.319675579458
313,12833.017279901396,16072.715096092727
314,12833.017279901396,15912.47448569219
315,12833.017279901396,15942.900595196588
316,12833.017279901396,15845.575127474573
317,12833.017279901396,15965.837717345486
318,12833.017279901396,15836.929455889049
319,12833.017279901396,15767.903860557533
320,12833.017279901396,15909.186366594933
321,12833.017279901396,15733.149983275849
322,12833.017279901396,15758.848953883753
323,12833.017279901396,15647.82714233538
324,12833.017279901396,15719.58260522772
325,12833.017279901396,15593.884850001155
326,12833.017279901396,15572.450533656334
327,12637.80175067757,15631.351038616434
328,12637.80175067757,15318.628967265813
329,12637.80175067757,15394.989614370552
330,12637.80175067757,15235.904463654453
331,12637.80175067757,15359.511554720322
332,12637.80175067757,15351.11904038501
333,12637.80175067757,15277.402531935842
334,12637.80175067757,15396.33303250125
335,12311.691733163165,15135.716268722548
336,12033.124208902927,15044.382056616172
337,11976.789623760456,14917.737623735471
338,11919.198356091543,14973.15010386929
339,11827.958506432755,15014.857686049065
340,11827.958506432755,14761.204542734236
341,11827.958506432755,14748.041917726672
342,11827.958506432755,14722.297415094128
343,11827.958506432755,14712.985877460042
344,11827.958506432755,14745.128944071143
345,11827.958506432755,14658.704679901337
346,11827.958506432755,14627.941215089728
347,11827.958506432755,14533.4320317046
348,11827.958506432755,14561.280394734245
349,11827.958506432755,14488.469035738653
350,11827.958506432755,14512.375474474084
351,11827.958506432755,14394.298805722592
352,11827.958506432755,14385.013214827994
353,11827.958506432755,14226.521147529375
354,11827.958506432755,14302.518595956439
355,11827.958506432755,14254.145585380582
356,11827.958506432755,14424.816457781648
357,11827.958506432755,14235.31302970087
358,11786.665882589841,14229.47208046268
359,11739.532810466451,14074.112073682627
360,11713.852037204722,14221.714630829694
361,11713.852037204722,13983.465876287983
362,11713.852037204722,14087.238786575988
363,11713.852037204722,13996.287163957371
364,11713.852037204722,14116.065341420508
365,11713.852037204722,14049.579930631156
366,11713.852037204722,13965.087601997073
367,11710.61087705251,13816.582273572132
368,11710.61087705251,13792.167811114748
369,11710.61087705251,13858.414888634603
370,11710.61087705251,13708.573516154176
371,11710.61087705251,13774.538514550954
372,11710.61087705251,13816.83509326702
373,11710.61087705251,13863.030258655857
374,11710.61087705251,13709.253305293118
375,11710.61087705251,13742.712759293741
376,11710.61087705251,13751.849441030101
377,11710.61087705251,13709.737261404744
378,11710.61087705251,13750.516705330858
379,11710.61087705251,13617.785900411642
380,11710.61087705251,13573.10800591394
381,11710.61087705251,13655.3049034604
382,11710.61087705251,13764.973524314513
383,11710.61087705251,13714.373352919794
384,11710.61087705251,13734.763517043357
385,11710.61087705251,13545.11672855515
386,11710.61087705251,13533.040368746295
387,11710.61087705251,13582.888640936271
388,11710.61087705251,13702.735907418473
389,11710.61087705251,13618.94214229752
390,11710.61087705251,13627.798340077516
391,11710.61087705251,13542.789276172056
392,11710.61087705251,13561.089329449793
