Generation,Best Distance,Average Distance,Gen Time (s),Cumulative Time (s)
0,21654.439491585457,26473.671274746655,0.007748842239379883,0.007750511169433594
1,21174.43873935609,24791.831231461976,0.007772684097290039,0.015993595123291016
2,20216.224157663695,23462.20654664004,0.009128093719482422,0.02538275718688965
3,19391.655741381237,22774.277211548793,0.007704257965087891,0.03345942497253418
4,18834.947192712105,22034.99666554251,0.007872819900512695,0.04158186912536621
5,18119.44868848372,21191.26651065218,0.007598161697387695,0.049657344818115234
6,16751.450683067047,20459.97053501195,0.008128643035888672,0.05803632736206055
7,16611.435196790364,19615.050445746638,0.008008241653442383,0.06669211387634277
8,15724.90381380366,18811.345398691712,0.008433341979980469,0.07536530494689941
9,14933.416974568187,18223.922202966864,0.007632017135620117,0.08348608016967773
10,14933.416974568187,17779.474508592648,0.0079193115234375,0.0916132926940918
11,14136.320573959209,17304.682349990617,0.007733345031738281,0.09975433349609375
12,14136.320573959209,16784.639126478723,0.007932662963867188,0.10807394981384277
13,14136.320573959209,16398.606726091304,0.007855653762817383,0.11637377738952637
14,14127.98826700145,16111.965240766936,0.007636070251464844,0.12441158294677734
15,13488.006201497126,15805.25283330931,0.0076084136962890625,0.13242387771606445
16,13488.006201497126,15457.886112414963,0.007672309875488281,0.14040517807006836
17,12916.24329017831,15292.616629570903,0.00764775276184082,0.1484203338623047
18,12916.24329017831,15051.827977497387,0.007822036743164062,0.15667104721069336
19,12626.842926190593,14807.225155859402,0.007923603057861328,0.16509652137756348
20,12626.842926190593,14765.064769186996,0.009415626525878906,0.175187349319458
21,12626.842926190593,14667.947791624805,0.009451627731323242,0.18509817123413086
22,12022.375240074158,14491.359962717279,0.008613824844360352,0.19418621063232422
23,11383.61955832166,14275.506234680965,0.009791851043701172,0.20441842079162598
24,11179.810626791716,13796.225274328317,0.007582426071166992,0.2124614715576172
25,11028.436854958745,13438.377111608279,0.007616281509399414,0.22039198875427246
26,11028.436854958745,12864.851331169059,0.007664680480957031,0.2283022403717041
27,11028.436854958745,12557.346922565543,0.007516145706176758,0.2361466884613037
28,11010.3988160491,12371.20692320399,0.007730960845947266,0.24413299560546875
29,10961.820912088988,12299.99752411242,0.0075724124908447266,0.25228333473205566
30,10683.86132716129,12163.108581977747,0.007715940475463867,0.26030874252319336
31,10559.515775567957,12084.130908218294,0.007480144500732422,0.26816248893737793
32,10499.14438643825,11999.828766416831,0.008154869079589844,0.2765622138977051
33,10137.738736878131,12052.808058614504,0.007588624954223633,0.28453731536865234
34,10137.738736878131,11953.345173919583,0.007860660552978516,0.29261040687561035
35,10121.181049470386,11877.122948597733,0.007632732391357422,0.3008310794830322
36,9821.278331647201,11680.692939409642,0.008316516876220703,0.3093695640563965
37,9821.278331647201,11426.348870875381,0.007638216018676758,0.31742072105407715
38,9800.872077432505,11335.937518502968,0.007560014724731445,0.32523369789123535
39,9416.62967800019,11208.967834166113,0.007515907287597656,0.33304476737976074
40,9337.679646235165,11171.207544181238,0.007526397705078125,0.3408067226409912
41,9337.679646235165,11013.903935429955,0.007586002349853516,0.34859538078308105
42,9337.679646235165,10803.768357238627,0.0076982975006103516,0.35659074783325195
43,9139.455292888419,10845.363852231465,0.007693052291870117,0.3646697998046875
44,9139.455292888419,10768.358395609295,0.008906841278076172,0.3738830089569092
45,9139.455292888419,10620.97247436904,0.007771968841552734,0.3819727897644043
46,9139.455292888419,10655.550052703938,0.007640838623046875,0.38991856575012207
47,9017.776031529147,10664.64818290601,0.007676839828491211,0.39783334732055664
48,9017.776031529147,10709.565957724422,0.00761866569519043,0.4057199954986572
49,8969.678712638926,10593.854393340778,0.007734060287475586,0.4138219356536865
50,8882.562872462118,10534.489239702423,0.0076885223388671875,0.4218921661376953
51,8882.562872462118,10525.214258194457,0.00800943374633789,0.43044567108154297
52,8550.421092617835,10220.182152623176,0.008858919143676758,0.4397134780883789
53,8550.421092617835,10113.870950060455,0.007910728454589844,0.44799089431762695
54,8308.80154323752,10006.552146631273,0.008039712905883789,0.45656442642211914
55,8308.80154323752,9964.715670740483,0.007570505142211914,0.46466541290283203
56,8308.80154323752,9885.388563973816,0.0076961517333984375,0.47260022163391113
57,8274.81195787949,9736.17567776267,0.007750511169433594,0.48073649406433105
58,8136.249314533825,9655.73609513711,0.0077075958251953125,0.4887511730194092
59,8092.709807193194,9536.673472209373,0.007765531539916992,0.4968681335449219
60,8053.1105767813415,9461.986876391737,0.008016347885131836,0.5052192211151123
61,7919.300214567668,9417.842820483143,0.007838010787963867,0.5134565830230713
62,7839.35636237325,9271.543301079859,0.007515907287597656,0.5212192535400391
63,7839.35636237325,9192.056844714769,0.00765228271484375,0.5291228294372559
64,7836.161476815185,9151.513006357769,0.0076100826263427734,0.5369360446929932
65,7736.727253231183,9007.599471603353,0.007605314254760742,0.5448954105377197
66,7736.727253231183,9079.209144808865,0.0075795650482177734,0.5527150630950928
67,7736.727253231183,9014.019076859264,0.0075304508209228516,0.5604791641235352
68,7736.727253231183,8913.468147353975,0.0076253414154052734,0.5683732032775879
69,7736.727253231183,8854.334141821153,0.008939981460571289,0.5776288509368896
70,7681.730637215459,8846.749517397144,0.007743120193481445,0.5856900215148926
71,7631.952181600235,8765.759487307321,0.007633209228515625,0.5935988426208496
72,7631.952181600235,8917.03516569127,0.00795292854309082,0.6017653942108154
73,7625.290950712691,8936.063947975761,0.007672309875488281,0.6098573207855225
74,7570.294334696966,8780.318744373746,0.007770538330078125,0.6179406642913818
75,7520.515879081743,8696.660830379642,0.00894474983215332,0.6272659301757812
76,7465.5192630660185,8696.196572008026,0.007704734802246094,0.6352953910827637
77,7323.911597256951,8607.443979291069,0.007715463638305664,0.6434261798858643
78,7323.911597256951,8553.73214829251,0.0076787471771240234,0.6514928340911865
