Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
39,26003.720732601636,26858.94183851024,2.002716064453125e-05,0.008563995361328125
40,26003.720732601636,26878.90338738679,2.0503997802734375e-05,0.008753299713134766
41,26003.720732601636,26633.819111816967,1.9550323486328125e-05,0.008941411972045898
42,26003.720732601636,26757.164349350438,1.9788742065429688e-05,0.009139299392700195
43,26003.720732601636,26543.647837715624,2.2172927856445312e-05,0.009331464767456055
44,26003.720732601636,26631.599827522175,1.9550323486328125e-05,0.009522676467895508
45,26003.720732601636,26435.03445774218,1.9550323486328125e-05,0.009715795516967773
46,25475.40267297808,25475.40267297808,2.002716064453125e-05,0.009920597076416016
47,25475.40267297808,25478.970722844886,1.9788742065429688e-05,0.010118722915649414
48,25475.40267297808,25676.477130112897,2.0265579223632812e-05,0.010333776473999023
49,25475.40267297808,25670.21024669065,2.002716064453125e-05,0.010527849197387695
50,25322.807259714064,25322.807259714064,2.002716064453125e-05,0.010723114013671875
51,25212.369001914256,25212.369001914256,2.0265579223632812e-05,0.010912418365478516
52,24583.995357645792,24583.995357645792,1.9788742065429688e-05,0.011104106903076172
53,24583.995357645792,24583.995357645792,2.002716064453125e-05,0.01129770278930664
54,24583.995357645792,24763.27777653829,2.002716064453125e-05,0.011485815048217773
55,24410.06923456763,24410.06923456763,1.9550323486328125e-05,0.011673688888549805
56,24230.786815675132,24230.786815675132,1.9550323486328125e-05,0.011872529983520508
57,24230.786815675132,24340.01247256473,2.0265579223632812e-05,0.012069463729858398
58,24230.786815675132,24313.793683180065,1.9311904907226562e-05,0.012259721755981445
59,24230.786815675132,24347.79444594511,1.9788742065429688e-05,0.012450218200683594
60,24230.786815675132,24347.79444594511,1.9550323486328125e-05,0.012638330459594727
61,24230.786815675132,24347.79444594511,1.9073486328125e-05,0.012826919555664062
62,24049.370510198336,24049.370510198336,2.8133392333984375e-05,0.013042449951171875
63,24049.370510198336,24103.628692860057,2.384185791015625e-05,0.01331782341003418
64,23920.326115339998,23920.326115339998,2.0742416381835938e-05,0.013542890548706055
65,23920.326115339998,24203.65681643891,2.0742416381835938e-05,0.013751983642578125
66,23920.326115339998,24203.65681643891,2.002716064453125e-05,0.013950824737548828
67,23920.326115339998,24727.739397633406,2.0503997802734375e-05,0.014145135879516602
68,23920.326115339998,24697.309712972252,1.9550323486328125e-05,0.014351367950439453
69,23920.326115339998,24679.555612947253,1.9550323486328125e-05,0.014564275741577148
70,23920.326115339998,24679.555612947253,1.9550323486328125e-05,0.014763593673706055
71,23920.326115339998,24794.635350381588,2.002716064453125e-05,0.014960050582885742
72,23920.326115339998,24794.635350381588,1.9073486328125e-05,0.015152692794799805
73,23920.326115339998,24794.635350381588,2.002716064453125e-05,0.015351057052612305
74,23920.326115339998,25291.23194178028,2.1219253540039062e-05,0.015541553497314453
75,23920.326115339998,25291.23194178028,1.9788742065429688e-05,0.015735864639282227
76,23920.326115339998,25453.713755269262,1.9550323486328125e-05,0.015931129455566406
77,23920.326115339998,25570.212673854276,2.002716064453125e-05,0.016123056411743164
78,23920.326115339998,25487.661021908876,2.002716064453125e-05,0.016313552856445312
79,23920.326115339998,25738.363660926832,2.0265579223632812e-05,0.016523122787475586
80,23920.326115339998,25416.52688133051,1.9550323486328125e-05,0.016712188720703125
81,23920.326115339998,25543.34020019947,2.5510787963867188e-05,0.016907215118408203
82,23920.326115339998,25089.769525585416,1.9550323486328125e-05,0.01709890365600586
83,23920.326115339998,25521.913699757886,1.9788742065429688e-05,0.017286300659179688
84,23920.326115339998,25191.581485582414,3.0040740966796875e-05,0.017485380172729492
85,23920.326115339998,25190.523869488217,1.9550323486328125e-05,0.017685651779174805
86,23920.326115339998,25190.523869488217,1.9550323486328125e-05,0.017873048782348633
87,23920.326115339998,24637.668348743973,1.9788742065429688e-05,0.018061161041259766
88,23920.326115339998,24646.172526130962,2.0742416381835938e-05,0.01824951171875
89,23920.326115339998,24438.199479913736,1.8835067749023438e-05,0.018436193466186523
90,23920.326115339998,24559.881307988057,1.9550323486328125e-05,0.018634796142578125
91,23920.326115339998,24464.52758330916,1.9311904907226562e-05,0.01882624626159668
92,23920.326115339998,25276.47930990384,2.1457672119140625e-05,0.0190427303314209
93,23920.326115339998,25642.6232371165,3.0279159545898438e-05,0.019306182861328125
94,23920.326115339998,25592.77481176428,2.0503997802734375e-05,0.01953887939453125
95,23920.326115339998,25675.38592231549,2.1219253540039062e-05,0.01973700523376465
96,23920.326115339998,25177.766993930618,2.09808349609375e-05,0.01995992660522461
97,23920.326115339998,24931.636463131843,2.5987625122070312e-05,0.020167112350463867
98,23920.326115339998,24759.502410840458,0.00013685226440429688,0.021679401397705078
99,23920.326115339998,24759.502410840458,2.0265579223632812e-05,0.021892070770263672
100,23920.326115339998,24759.502410840458,1.9550323486328125e-05,0.02208089828491211
101,23920.326115339998,24967.475457057684,2.002716064453125e-05,0.02226996421813965
102,23920.326115339998,24942.766470554994,1.9311904907226562e-05,0.022464513778686523
103,23920.326115339998,24942.766470554994,1.9550323486328125e-05,0.02266716957092285
104,23920.326115339998,24951.1664741868,1.9311904907226562e-05,0.022876977920532227
105,23920.326115339998,25656.241714329353,1.9550323486328125e-05,0.023085355758666992
106,23920.326115339998,25964.385599200014,2.09808349609375e-05,0.02329707145690918
107,23920.326115339998,26312.9233137327,2.002716064453125e-05,0.023490190505981445
108,23920.326115339998,25777.017799392568,2.0503997802734375e-05,0.023685932159423828
109,23920.326115339998,25777.017799392568,1.9550323486328125e-05,0.023879289627075195
110,23920.326115339998,25777.017799392568,1.9788742065429688e-05,0.024073362350463867
111,23920.326115339998,25519.879726573483,1.9550323486328125e-05,0.02426886558532715
112,23920.326115339998,25519.879726573483,1.9550323486328125e-05,0.024463176727294922
113,23920.326115339998,25277.82597274029,1.8596649169921875e-05,0.024654150009155273
114,23920.326115339998,25256.193385467046,1.9311904907226562e-05,0.024850130081176758
115,23920.326115339998,25216.41306142209,1.9788742065429688e-05,0.02508854866027832
116,23920.326115339998,24907.81221753785,1.9073486328125e-05,0.02529311180114746
117,23920.326115339998,24896.136523364472,1.9311904907226562e-05,0.025484800338745117
118,23920.326115339998,24896.136523364472,1.9550323486328125e-05,0.02567887306213379
119,23920.326115339998,25560.44146097127,2.0265579223632812e-05,0.02587127685546875
120,23920.326115339998,25483.932146642874,1.9073486328125e-05,0.026060104370117188
121,23920.326115339998,25483.932146642874,1.9788742065429688e-05,0.026250839233398438
122,23920.326115339998,25464.670624945895,2.0265579223632812e-05,0.026464462280273438
123,23920.326115339998,25589.029181799127,2.0503997802734375e-05,0.026656389236450195
124,23920.326115339998,25265.631894856357,1.9788742065429688e-05,0.02684807777404785
125,23920.326115339998,25663.74660138993,1.9788742065429688e-05,0.027050018310546875
126,23920.326115339998,25838.408531864516,1.9311904907226562e-05,0.02724456787109375
127,23920.326115339998,25735.667547965677,2.0503997802734375e-05,0.02743840217590332
128,23920.326115339998,25954.7191052372,1.9550323486328125e-05,0.027630090713500977
129,23920.326115339998,25829.24405777297,2.5987625122070312e-05,0.027866125106811523
