Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
0,25635.675918621557,25635.675918621557,0.0012176036834716797,0.0012192726135253906
1,24297.26887928699,24297.26887928699,0.0014066696166992188,0.003020763397216797
2,23010.247833667567,23010.247833667567,0.001153707504272461,0.0044193267822265625
3,21747.5633143527,21747.5633143527,0.0014307498931884766,0.0060422420501708984
4,20608.789376590736,20608.789376590736,0.0012052059173583984,0.007495880126953125
5,20085.65095439745,20085.65095439745,0.0011394023895263672,0.008823394775390625
6,19354.63080651894,19354.63080651894,0.0011942386627197266,0.01020669937133789
7,17993.274577537202,17993.274577537202,0.0011830329895019531,0.01165151596069336
8,17386.177487227473,17386.177487227473,0.0026078224182128906,0.014594078063964844
9,16145.315954948332,16145.315954948332,0.001316070556640625,0.01622939109802246
10,15629.451342051147,15629.451342051147,0.0011584758758544922,0.017669677734375
11,14745.807093241796,14745.807093241796,0.0011572837829589844,0.0190889835357666
12,14242.357814846242,14242.357814846242,0.0011529922485351562,0.02045154571533203
13,13672.621528537016,13672.621528537016,0.0011591911315917969,0.021825551986694336
14,13452.648235025254,13452.648235025254,0.0011601448059082031,0.023181915283203125
15,12933.332638065276,12933.332638065276,0.001157522201538086,0.024538278579711914
16,12602.320564997977,12602.320564997977,0.0012030601501464844,0.02593708038330078
17,12102.459718170054,12102.459718170054,0.0013003349304199219,0.027508258819580078
18,11922.724587701327,11922.724587701327,0.0011868476867675781,0.028940916061401367
19,11604.53597224249,11604.53597224249,0.0011761188507080078,0.030332088470458984
20,11254.115055242282,11254.115055242282,0.001154184341430664,0.03168129920959473
21,11206.782385598734,11206.782385598734,0.0013003349304199219,0.0331878662109375
22,10973.404339796001,10973.404339796001,0.0011584758758544922,0.034549713134765625
23,10670.21909096769,10670.21909096769,0.0011773109436035156,0.035925865173339844
24,10485.31966358458,10485.31966358458,0.0011570453643798828,0.03732800483703613
25,9965.013603592932,9965.013603592932,0.0011682510375976562,0.0386958122253418
26,9762.995903783878,9762.995903783878,0.0011663436889648438,0.04005694389343262
27,9612.022095635066,9612.022095635066,0.0012950897216796875,0.041584014892578125
28,9436.103957864705,9436.103957864705,0.0011813640594482422,0.04299759864807129
29,9209.616015097368,9209.616015097368,0.0011823177337646484,0.04443669319152832
30,9048.118407411966,9048.118407411966,0.001165628433227539,0.04579567909240723
31,9034.009678392349,9034.009678392349,0.0011663436889648438,0.04715919494628906
32,8753.774202917179,8753.774202917179,0.0011844635009765625,0.04857182502746582
33,8659.92357962317,8659.92357962317,0.0011739730834960938,0.049944400787353516
34,8637.72946167266,8637.72946167266,0.0011639595031738281,0.05129837989807129
35,8444.859213087091,8444.859213087091,0.0011792182922363281,0.052666664123535156
36,8258.047233664882,8258.047233664882,0.0011720657348632812,0.054028987884521484
37,8100.176346935409,8100.176346935409,0.0011928081512451172,0.05540108680725098
38,7952.506234545061,7952.506234545061,0.001165628433227539,0.05675077438354492
39,7950.134663899906,7950.134663899906,0.0013303756713867188,0.05826425552368164
40,7805.148771606798,7805.148771606798,0.001294851303100586,0.05977177619934082
41,7739.834185032763,7739.834185032763,0.0012922286987304688,0.06125068664550781
42,7604.2988458565305,7604.2988458565305,0.0012841224670410156,0.0627133846282959
43,7492.723592283409,7492.723592283409,0.001294851303100586,0.06418633460998535
44,7470.5926866705995,7470.5926866705995,0.0012903213500976562,0.06565380096435547
45,7452.479731950093,7452.479731950093,0.0012969970703125,0.06712651252746582
46,7392.614657787463,7392.614657787463,0.0012955665588378906,0.06859850883483887
47,7284.402746431583,7284.402746431583,0.0013170242309570312,0.07009434700012207
48,7160.8837511841,7160.8837511841,0.001287698745727539,0.07156991958618164
49,7130.511774909679,7130.511774909679,0.001323699951171875,0.07310366630554199
50,7126.271705147093,7126.271705147093,0.0013041496276855469,0.07463335990905762
51,7126.271705147093,7126.271705147093,0.0015571117401123047,0.07649469375610352
52,7126.271705147093,7126.271705147093,0.001436471939086914,0.07821822166442871
53,7126.271705147093,7126.271705147093,0.0013005733489990234,0.07976245880126953
54,7045.796854981018,7045.796854981018,0.0013086795806884766,0.08126044273376465
55,7045.796854981018,7045.796854981018,0.001306772232055664,0.08275246620178223
56,6866.52115762117,6866.52115762117,0.0012969970703125,0.08424067497253418
57,6866.52115762117,6866.52115762117,0.0013225078582763672,0.08574151992797852
58,6857.045879414648,6857.045879414648,0.0012965202331542969,0.08722305297851562
59,6829.044989732358,6829.044989732358,0.0013415813446044922,0.08875441551208496
60,6829.044989732358,6829.044989732358,0.002460002899169922,0.09154748916625977
61,6829.044989732358,6829.044989732358,0.0013098716735839844,0.09330868721008301
62,6730.588988297154,6730.588988297154,0.0013010501861572266,0.09480834007263184
63,6730.588988297154,6730.588988297154,0.0012938976287841797,0.09630298614501953
64,6730.588988297154,6730.588988297154,0.0013000965118408203,0.09780216217041016
65,6730.588988297154,6730.588988297154,0.001291036605834961,0.09928727149963379
66,6650.285375512678,6650.285375512678,0.001338958740234375,0.10084247589111328
67,6650.285375512678,6650.285375512678,0.0012857913970947266,0.10234427452087402
68,6650.285375512678,6650.285375512678,0.0013256072998046875,0.10387229919433594
