Iteration,Best Distance,Average Distance,Iter Time (s),Cumulative Time (s)
163,6881.469197511931,22249.023678586967,0.008680343627929688,1.2813074588775635
164,6881.469197511931,22034.526427658107,0.008911848068237305,1.2905070781707764
165,6881.469197511931,22229.59604572813,0.007946252822875977,1.2988219261169434
166,6881.469197511931,22073.53197656349,0.008823156356811523,1.3080244064331055
167,6771.925902237467,22599.67782156254,0.007035970687866211,1.3156452178955078
168,6771.925902237467,22572.13014974753,0.0071485042572021484,1.3231055736541748
169,6771.925902237467,22396.967595198876,0.008388757705688477,1.3319988250732422
170,6771.925902237467,22425.557091711045,0.007765293121337891,1.3401269912719727
171,6771.925902237467,22623.29399867772,0.006972312927246094,1.3477210998535156
172,6771.925902237467,22591.98695471174,0.0075836181640625,1.3556146621704102
173,6771.925902237467,22790.851673271696,0.007322788238525391,1.3634698390960693
174,6771.925902237467,23072.129027549614,0.005631923675537109,1.369462013244629
175,6701.824209451713,22836.24433070983,0.006513118743896484,1.3761982917785645
176,6701.824209451713,22911.17755653175,0.006214141845703125,1.3829171657562256
177,6701.824209451713,22732.521544769068,0.0073168277740478516,1.3905274868011475
178,6701.824209451713,22230.5737158115,0.008332252502441406,1.3992321491241455
179,6504.0498127176725,22734.205458521606,0.0067937374114990234,1.4062533378601074
180,6504.0498127176725,22505.795474332004,0.006306171417236328,1.4129700660705566
181,6504.0498127176725,22755.061347744842,0.007790088653564453,1.4211552143096924
182,6504.0498127176725,22531.92350379825,0.006300449371337891,1.427816390991211
183,6504.0498127176725,22364.247850015607,0.008308172225952148,1.4364492893218994
184,6504.0498127176725,22786.680945278997,0.008231401443481445,1.445061206817627
185,6504.0498127176725,22067.503245166088,0.009352445602416992,1.4548933506011963
186,6504.0498127176725,22007.88338050735,0.010004281997680664,1.4653961658477783
187,6504.0498127176725,21582.424499655543,0.00927424430847168,1.475111961364746
188,6504.0498127176725,22010.196414709306,0.006682872772216797,1.482151746749878
189,6504.0498127176725,22364.42555360822,0.0059969425201416016,1.488396167755127
190,6504.0498127176725,22234.823022601897,0.0069959163665771484,1.4957029819488525
191,6504.0498127176725,22102.322326740214,0.006503582000732422,1.5026524066925049
192,6504.0498127176725,22150.222202497534,0.007357358932495117,1.5103154182434082
193,6504.0498127176725,22422.148381276627,0.007913827896118164,1.518794059753418
194,6504.0498127176725,22277.05450546547,0.006609916687011719,1.5257031917572021
195,6504.0498127176725,22402.491424709293,0.005375862121582031,1.5315320491790771
196,6504.0498127176725,22726.349398021553,0.007073879241943359,1.538851022720337
197,6504.0498127176725,22071.072619869752,0.008336305618286133,1.5474977493286133
198,6504.0498127176725,22042.757927609662,0.006631135940551758,1.554516315460205
199,6449.053196701948,22126.00308508004,0.006221771240234375,1.5610783100128174
200,6449.053196701948,22416.056418702727,0.006269693374633789,1.5678067207336426
201,6449.053196701948,22030.864382066993,0.007734537124633789,1.5759823322296143
202,6449.053196701948,21955.351653463385,0.007337331771850586,1.583730697631836
203,6449.053196701948,22293.290631638203,0.007014274597167969,1.5910377502441406
204,6449.053196701948,21704.673325182735,0.008157014846801758,1.5995285511016846
205,6449.053196701948,22163.9310298637,0.007240772247314453,1.6070647239685059
206,6449.053196701948,21920.262015060292,0.009494781494140625,1.616974115371704
207,6449.053196701948,22012.228141144846,0.008394002914428711,1.6256475448608398
208,6449.053196701948,21944.04042358321,0.00706171989440918,1.6332638263702393
209,6449.053196701948,22137.376119570214,0.007506370544433594,1.641082763671875
210,6449.053196701948,21590.10064668772,0.0086212158203125,1.650071144104004
211,6449.053196701948,22007.240091211585,0.006600379943847656,1.6570932865142822
212,6449.053196701948,21621.931676975568,0.008339166641235352,1.6658501625061035
213,6449.053196701948,22120.01534089348,0.006461381912231445,1.6725671291351318
214,6449.053196701948,21831.1249876158,0.007329702377319336,1.6806015968322754
215,6449.053196701948,22054.884966345166,0.007218599319458008,1.6881234645843506
216,6449.053196701948,22124.473038264234,0.006327390670776367,1.6948215961456299
217,6449.053196701948,21670.87486699799,0.00856924057006836,1.7037174701690674
218,6449.053196701948,22005.00533907418,0.007442951202392578,1.7115943431854248
219,6449.053196701948,22231.546659440304,0.007652759552001953,1.7196533679962158
220,6449.053196701948,21953.35436700877,0.008571147918701172,1.728757619857788
221,6449.053196701948,21663.75596827655,0.009336471557617188,1.7385990619659424
222,6449.053196701948,22268.98251510179,0.006709575653076172,1.7457294464111328
223,6449.053196701948,21892.715509641337,0.00793147087097168,1.7539517879486084
224,6449.053196701948,22031.859164700505,0.007401704788208008,1.7617921829223633
225,6449.053196701948,21808.81831636048,0.007932186126708984,1.7700355052947998
226,6449.053196701948,21886.06597908021,0.008807659149169922,1.7791130542755127
227,6449.053196701948,21691.33395994389,0.007996559143066406,1.787574052810669
228,6449.053196701948,22190.050566907925,0.007777690887451172,1.7958154678344727
229,6449.053196701948,22222.384342491267,0.006499528884887695,1.8026740550994873
230,6449.053196701948,22415.367436924706,0.00808095932006836,1.8110527992248535
231,6449.053196701948,22370.92165415823,0.008843183517456055,1.820340633392334
232,6449.053196701948,22390.026173363844,0.007134437561035156,1.8278982639312744
233,6449.053196701948,22231.7280045311,0.009026765823364258,1.8372764587402344
234,6449.053196701948,22456.698152423676,0.007500171661376953,1.8453121185302734
235,6449.053196701948,22153.92920083145,0.007372856140136719,1.853015661239624
236,6449.053196701948,22214.124057639685,0.00741887092590332,1.860692024230957
237,6449.053196701948,22137.868478850683,0.007869958877563477,1.8715274333953857
238,6449.053196701948,22412.82606433793,0.007336854934692383,1.879232406616211
239,6449.053196701948,22363.32154308611,0.006977081298828125,1.8864500522613525
240,6449.053196701948,22513.685583912153,0.007101535797119141,1.8938047885894775
241,6449.053196701948,22285.533908172274,0.007893800735473633,1.9022033214569092
242,6449.053196701948,22378.48557343607,0.007779598236083984,1.9104490280151367
243,6449.053196701948,22018.973174269147,0.0077152252197265625,1.9186084270477295
244,6449.053196701948,22187.420984004908,0.007711887359619141,1.9265882968902588
245,6449.053196701948,22054.069420118023,0.007687568664550781,1.9347150325775146
246,6449.053196701948,21507.200412730093,0.009419679641723633,1.9443979263305664
247,6449.053196701948,21874.52570463323,0.009584188461303711,1.9543533325195312
248,6449.053196701948,22111.447831957135,0.006438255310058594,1.9613807201385498
249,6449.053196701948,21946.32148872879,0.007904052734375,1.9695549011230469
250,6449.053196701948,21808.627451551227,0.007771730422973633,1.9778602123260498
251,6449.053196701948,22389.61150536383,0.007850885391235352,1.9863317012786865
252,6449.053196701948,22028.87740283941,0.008146047592163086,1.99479079246521
253,6449.053196701948,21763.29517075974,0.007127285003662109,2.002192497253418
254,6449.053196701948,22562.351832956072,0.0058574676513671875,2.008368730545044
255,6449.053196701948,22131.328098589867,0.0080718994140625,2.016789674758911
256,6449.053196701948,22197.158191871484,0.006356477737426758,2.0235188007354736
257,6437.750783265591,22372.430062629563,0.0068492889404296875,2.0307505130767822
258,6437.750783265591,21818.241667245813,0.008977174758911133,2.040104627609253
259,6437.750783265591,22179.29083927799,0.005995512008666992,2.046476125717163
260,6437.750783265591,21231.840798884346,0.009493827819824219,2.0561907291412354
261,6437.750783265591,21698.835849754425,0.00933074951171875,2.0660250186920166
262,6432.659809645833,21777.59552588924,0.006139039993286133,2.072392702102661
263,6432.659809645833,21583.228960176068,0.006937265396118164,2.0795981884002686
264,6432.659809645833,22054.76138957008,0.005947589874267578,2.0858607292175293
265,6432.659809645833,22061.73338465813,0.006837129592895508,2.09291672706604
266,6432.659809645833,22104.09121641261,0.00935506820678711,2.102715253829956
267,6432.659809645833,21848.69377053982,0.007346630096435547,2.1103780269622803
268,6432.659809645833,22140.32269809012,0.006685972213745117,2.117497205734253
269,6432.659809645833,22500.58199711749,0.00604701042175293,2.1237740516662598
270,6432.659809645833,22749.46919075896,0.005650520324707031,2.1297965049743652
271,6406.652682315249,22404.390777786943,0.007613658905029297,2.1377413272857666
272,6406.652682315249,22348.838573757206,0.00636744499206543,2.144576072692871
273,6406.652682315249,22159.06121885075,0.0071485042572021484,2.152064085006714
274,6406.652682315249,22065.897617867355,0.007012605667114258,2.159454345703125
275,6406.652682315249,22196.23733648269,0.007098674774169922,2.166874408721924
276,6406.652682315249,22327.208652058845,0.008627891540527344,2.1758763790130615
277,6406.652682315249,22785.871947788357,0.006834745407104492,2.183157444000244
278,6406.652682315249,22851.536695780487,0.0057086944580078125,2.1891894340515137
279,6406.652682315249,22663.55868259876,0.007393836975097656,2.196847677230835
280,6406.652682315249,22420.282646677006,0.006678104400634766,2.203861713409424
281,6406.652682315249,22553.913818382145,0.005913734436035156,2.2103750705718994
282,6406.652682315249,22643.76277649046,0.007068634033203125,2.2177109718322754
283,6406.652682315249,22452.161750866188,0.00812983512878418,2.226231336593628
284,6406.652682315249,22847.550747442576,0.006181240081787109,2.2328994274139404
285,6317.457482641286,22245.795971546802,0.007901668548583984,2.241184711456299
286,6317.457482641286,22166.100703219196,0.009311437606811523,2.251013994216919
287,6317.457482641286,22147.04931998183,0.006840229034423828,2.2584774494171143
288,6317.457482641286,21984.72805672184,0.008791685104370117,2.267599105834961
289,6317.457482641286,22307.005162158614,0.007387399673461914,2.2753043174743652
290,6317.457482641286,22219.677039868395,0.0072650909423828125,2.28290057182312
291,6317.457482641286,22522.818044920314,0.006491899490356445,2.289802074432373
292,6317.457482641286,22579.89650984297,0.006786346435546875,2.2969560623168945
293,6317.457482641286,22343.825635345376,0.0077326297760009766,2.305058002471924
294,6317.457482641286,22447.84844760316,0.007805824279785156,2.313265323638916
295,6317.457482641286,21896.532043517265,0.009434700012207031,2.3230340480804443
296,6317.457482641286,21393.306933292155,0.008896589279174805,2.332331657409668
297,6317.457482641286,21687.23075089168,0.007115602493286133,2.3397417068481445
298,6317.457482641286,21936.223826517387,0.007010698318481445,2.34722900390625
299,6317.457482641286,22099.413621200765,0.008443117141723633,2.3560564517974854
300,6317.457482641286,21715.569269477095,0.00867009162902832,2.365102529525757
301,6317.457482641286,22114.570685272836,0.007886886596679688,2.3734660148620605
302,6317.457482641286,22053.373900293744,0.0072977542877197266,2.381115674972534
303,6317.457482641286,22167.619164807835,0.00812530517578125,2.3894615173339844
304,6317.457482641286,21756.296678146227,0.008637189865112305,2.398477554321289
305,6317.457482641286,22034.631243297375,0.007002353668212891,2.4057977199554443
306,6317.457482641286,21802.681060974923,0.008473873138427734,2.414695978164673
307,6317.457482641286,22447.658402242017,0.006044149398803711,2.421107530593872
308,6317.457482641286,21942.49613644589,0.007849931716918945,2.429208993911743
309,6317.457482641286,22157.5324680389,0.007868766784667969,2.4373021125793457
310,6317.457482641286,22023.905273328404,0.008302450180053711,2.445953369140625
311,6317.457482641286,22322.921969858362,0.007791042327880859,2.454420328140259
312,6317.457482641286,22132.712926479126,0.007399082183837891,2.4621222019195557
313,6317.457482641286,22233.519955425858,0.00728917121887207,2.4697325229644775
314,6317.457482641286,22120.737626282193,0.007958650588989258,2.4779052734375
315,6317.457482641286,21827.307628505485,0.008315563201904297,2.4867115020751953
316,6317.457482641286,22203.34536579198,0.007394313812255859,2.4943580627441406
317,6317.457482641286,22121.129439525568,0.0063512325286865234,2.5011484622955322
318,6317.457482641286,22079.062793455818,0.008078336715698242,2.5094854831695557
319,6317.457482641286,22195.343889885276,0.007960319519042969,2.5177221298217773
320,6317.457482641286,22387.450308670825,0.006982088088989258,2.5249104499816895
321,6317.457482641286,22304.60974528178,0.00817561149597168,2.5334811210632324
322,6317.457482641286,22071.306619078732,0.010471343994140625,2.5442347526550293
323,6317.457482641286,22528.478555969825,0.007822275161743164,2.552461624145508
324,6317.457482641286,22374.961127251183,0.007901668548583984,2.560638427734375
325,6317.457482641286,21996.31687787243,0.007999658584594727,2.569232225418091
326,6317.457482641286,21895.914239429134,0.009560346603393555,2.579044818878174
327,6317.457482641286,22811.508094320176,0.0053615570068359375,2.5847723484039307
328,6317.457482641286,22761.966468619667,0.006348371505737305,2.591356039047241
329,6317.457482641286,22448.68884906933,0.007849693298339844,2.5994513034820557
330,6317.457482641286,22217.21809458342,0.008332252502441406,2.6080000400543213
331,6317.457482641286,21973.755128953784,0.008126974105834961,2.616565465927124
332,6317.457482641286,22033.755185700757,0.0083465576171875,2.625188112258911
333,6317.457482641286,22106.07711363676,0.007385969161987305,2.632904052734375
334,6317.457482641286,22193.192212418704,0.0073740482330322266,2.640547752380371
335,6317.457482641286,22136.07868164638,0.008612394332885742,2.649594306945801
336,6317.457482641286,22980.529083388803,0.0053348541259765625,2.655222177505493
337,6317.457482641286,22463.922661380824,0.006689310073852539,2.662163019180298
338,6317.457482641286,22343.30120648033,0.009125947952270508,2.6714870929718018
339,6317.457482641286,22517.298292651187,0.005662202835083008,2.677525520324707
340,6317.457482641286,22194.77644399939,0.008269786834716797,2.685992479324341
341,6317.457482641286,22357.40473864643,0.008830547332763672,2.6951639652252197
342,6317.457482641286,21997.064585758966,0.010705947875976562,2.706186532974243
343,6317.457482641286,22215.25584463057,0.007652997970581055,2.7142930030822754
344,6317.457482641286,22550.173457961446,0.005296468734741211,2.7199103832244873
345,6317.457482641286,22152.106107309923,0.008343935012817383,2.728476047515869
346,6317.457482641286,22392.790388364447,0.006647825241088867,2.7353992462158203
347,6317.457482641286,22512.615481403576,0.00676274299621582,2.7423839569091797
348,6317.457482641286,22671.20737671814,0.006362438201904297,2.7489986419677734
349,6317.457482641286,22558.147538148343,0.007333278656005859,2.7565317153930664
350,6317.457482641286,22516.77757241856,0.007022857666015625,2.7637405395507812
351,6317.457482641286,22609.015094390033,0.006520986557006836,2.770646333694458
352,6317.457482641286,22717.514341670474,0.010284423828125,2.781158447265625
353,6317.457482641286,22808.33115428384,0.006452322006225586,2.7880282402038574
354,6317.457482641286,22117.15995964077,0.00836324691772461,2.7967374324798584
355,6317.457482641286,22234.37817529828,0.0067980289459228516,2.8038699626922607
356,6317.457482641286,22255.50076493117,0.00801706314086914,2.8121557235717773
